Epoch,FID,Gen_Loss,Disc_Loss
0,202.0041401276606,2.482876,0.33592123
5,145.14897281375582,1.8228786,0.3555788
10,132.8365592679882,1.8867847,0.44309083
15,127.28769000519765,1.9247508,0.49955344
20,115.05399564920904,1.6026965,0.44794154
25,110.48139462314683,1.6105275,0.5323542
30,106.57372664622935,2.067769,0.5171389
35,99.76427575579036,1.9756045,0.46160263
40,99.17876057028808,1.7333674,0.44651803
45,91.89070446384014,2.0593166,0.3920589
50,93.59049226143591,2.1010616,0.4274922
55,90.3121958906647,1.7405713,0.4392973
60,91.36825783850125,1.8954077,0.40434805
65,89.84092931350402,1.9559591,0.49105835
70,89.16014160844931,1.93285,0.4284761
75,88.5638249782023,1.922842,0.40391105
80,89.39242601256099,2.0832748,0.42891192
85,89.5687887970227,2.2718081,0.4007331
90,88.19002392535282,2.1169696,0.41627404
95,89.75617685804733,2.1168365,0.39754003
100,90.22965439585322,2.2744792,0.39145806
105,91.69774946951226,2.0297284,0.3601529
110,89.30118377807679,1.8316264,0.39298165
115,87.8621057502719,1.9227116,0.41734937
120,87.12983826099047,2.2467418,0.3819149
125,89.70354536321557,2.0971491,0.40021
130,89.35190579061947,2.299263,0.36673832
135,91.7203334392153,1.8993714,0.4029569
140,89.05615795013014,2.1482463,0.4015427
140,96.98575359782942,2.25039,0.36892474
145,86.53640771621943,2.4338622,0.39553455
150,92.1556552058006,2.140227,0.37811953
155,87.5068586116285,2.1492028,0.37909728
160,89.18719340039122,1.9789121,0.35531846
160,87.01025992081539,2.295248,0.37550604
165,88.72968087735941,2.2812371,0.41270977
170,87.65333108557985,2.362171,0.36150056
175,89.51008726542611,2.3271651,0.36152238
180,89.18702379647362,2.3052812,0.41125727
185,89.29773414389514,2.448897,0.3774173
180,90.15979720690709,2.124704,0.43074372
185,89.50154685840013,1.9582139,0.35688826
190,89.50656154320775,2.2494812,0.3895409
195,86.51599024555054,2.42036,0.43570364
200,88.87707403572621,2.195212,0.3854929
205,91.8003431869706,2.2241063,0.40424865
210,88.07682256842037,1.9754013,0.38337553
215,89.04242650618995,2.348365,0.3745211
220,89.19935209749748,2.0440028,0.3924209
220,88.1146720328427,2.1399589,0.36064747
225,90.22928508629008,2.3128538,0.38120127
230,87.67563951095619,2.1727407,0.38507897
235,91.76346786635727,2.3382804,0.36486232
240,86.7538576552844,2.1260157,0.3285476
240,87.43263180820601,2.1439228,0.38763577
245,88.55536491781591,2.2310767,0.35991168
